"species" "location" "sample_name" "model" "ncount_max" "mt_percent" "tumor_type" "processed" "sp_pattern" "organism" "data_type" "method" "data_source" "unique" "CL_or_PDX"
"64" "patient" "lung" "CCDI0092_3911" "CCDI0092_3911" 50000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"65" "patient" "lung" "CCDI0093_6546" "CCDI0093_6546" 70000 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"66" "patient" "lung" "CCDI0100_12416" "CCDI0100_12416" 60000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"67" "patient" "lung" "CCDI0096_8952" "CCDI0096_8952" 40000 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"68" "patient" "lung" "CCDI0098_8951" "CCDI0098_8951" 25000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"69" "patient" "lung" "CCDI0097_8978" "CCDI0097_8978" 70000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"70" "patient" "lung" "CCDI0053_445" "CCDI0053_445" 100000 10 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"71" "patient" "lung" "CCDI0057_16178" "CCDI0057_16178" 60000 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"72" "patient" "lung" "CCDI0058_16183" "CCDI0058_16183" 60000 15 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"73" "patient" "lung" "CCDI0101_16178b" "CCDI0101_16178b" 60000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"74" "patient" "lung" "CCDI0102_16183b" "CCDI0102_16183b" 50000 20 "metastatic" "yes" "nothing" "human" "three_prime" "single_nucleus" "NCI_POB" "patient_mets" "patient"
"75" "xenograft" "tibia" "S0034" "NCHOS7" 50000 20 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_cell" "NCH" "xeno_prim_human" "xenograft_PDX"
"76" "xenograft" "tibia" "S0042" "NCHOS2" 45000 20 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_cell" "NCH" "xeno_prim_human" "xenograft_PDX"
"77" "xenograft" "tibia" "S0170" "NCHOS4" 35000 20 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "NCH" "xeno_prim_human" "xenograft_PDX"
"78" "xenograft" "tibia" "S0169" "NCHOS7" 20000 20 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "NCH" "xeno_prim_human" "xenograft_PDX"
"79" "xenograft" "femur" "SJOS010929_X1" "SJOS010929_X1" 7000 20 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"80" "xenograft" "tibia" "SJOS013769_X1" "SJOS013769_X1" 15000 10 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"81" "xenograft" "femur" "SJOS030101_X1" "SJOS030101_X1" 15000 15 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"82" "xenograft" "femur" "SJOS030279_X1" "SJOS030279_X1" 15000 15 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"83" "xenograft" "femur" "SJOS063824_X1" "SJOS063824_X1" 1000 10 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"84" "xenograft" "femur" "SJOS016015_X1" "SJOS016015_X1" 5000 15 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"85" "xenograft" "femur" "SJOS012409_X1" "SJOS012409_X1" 5000 20 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"86" "xenograft" "femur" "SJOS013768_X1" "SJOS013768_X1" 2000 20 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"87" "xenograft" "tibia" "SJOS016016_X1" "SJOS016016_X1" 600 5 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"88" "xenograft" "femur" "SJOS063819_X1" "SJOS063819_X1" 6000 20 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"89" "xenograft" "femur" "SJOS030272_X1" "SJOS030272_X1" 600 20 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"90" "xenograft" "femur" "SJOS063833_X2" "SJOS063833_X2" 7000 20 "primary" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_prim_human" "xenograft_PDX"
"91" "xenograft" "lung" "S0041" "NCHOS2" 4000 20 "metastatic" "yes" "^GRCh38-" "human" "three_prime" "single_cell" "NCH" "xeno_mets_human" "xenograft_PDX"
"92" "xenograft" "lung" "S0055" "NCHOS7" 50000 20 "metastatic" "yes" "^GRCh38-" "human" "three_prime" "single_cell" "NCH" "xeno_mets_human" "xenograft_PDX"
"93" "xenograft" "lung" "S0254" "NCHOS4" 75000 20 "metastatic" "yes" "^GRCh38-" "human" "three_prime" "single_cell" "NCH" "xeno_mets_human" "xenograft_PDX"
"94" "xenograft" "lung" "SJOS003939_X2_sc" "SJOS003939_X2_sc" 40000 15 "metastatic" "yes" "^GRCh38-" "human" "three_prime" "single_cell" "SJ" "xeno_mets_human" "xenograft_PDX"
"95" "xenograft" "lung" "SJOS003939_X2_sn" "SJOS003939_X2_sn" 2500 10 "metastatic" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_mets_human" "xenograft_PDX"
"96" "xenograft" "lung" "SJOS001112_X1" "SJOS001112_X1" 9000 15 "metastatic" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_mets_human" "xenograft_PDX"
"97" "xenograft" "lung" "SJOS013768_X3" "SJOS013768_X3" 600 15 "metastatic" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_mets_human" "xenograft_PDX"
"98" "xenograft" "lung" "SJOS001108_X1" "SJOS001108_X1" 8000 20 "metastatic" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_mets_human" "xenograft_PDX"
"99" "xenograft" "lung" "SJOS030441_X1" "SJOS030441_X1" 2000 15 "metastatic" "yes" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_mets_human" "xenograft_PDX"
"100" "xenograft" "lung" "SJOS063833_X1" "SJOS063833_X1" 6000 20 "metastatic" "pending" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_mets_human" "xenograft_PDX"
"101" "xenograft" "lung" "SJOS001107_X3" "SJOS001107_X3" 3000 20 "metastatic" "pending" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_mets_human" "xenograft_PDX"
"102" "xenograft" "lung" "SJOS001116_X2" "SJOS001116_X2" 3000 10 "metastatic" "pending" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_mets_human" "xenograft_PDX"
"103" "xenograft" "lung" "SJOS030605_X2" "SJOS030605_X2" 1000 15 "metastatic" "pending" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_mets_human" "xenograft_PDX"
"104" "xenograft" "lung" "SJOS001132_X1" "SJOS001132_X1" 3000 15 "metastatic" "pending" "^GRCh38-" "human" "three_prime" "single_nucleus" "SJ" "xeno_mets_human" "xenograft_PDX"
"105" "xenograft" "tibia" "S0034" "NCHOS7" 2000 20 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_cell" "NCH" "xeno_prim_mouse" "xenograft_PDX"
"106" "xenograft" "tibia" "S0042" "NCHOS2" 1000 20 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_cell" "NCH" "xeno_prim_mouse" "xenograft_PDX"
"107" "xenograft" "tibia" "S0170" "NCHOS4" 5000 20 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "NCH" "xeno_prim_mouse" "xenograft_PDX"
"108" "xenograft" "tibia" "S0169" "NCHOS7" 30000 20 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "NCH" "xeno_prim_mouse" "xenograft_PDX"
"109" "xenograft" "femur" "SJOS010929_X1" "SJOS010929_X1" 2500 10 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"110" "xenograft" "tibia" "SJOS013769_X1" "SJOS013769_X1" 2500 10 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"111" "xenograft" "femur" "SJOS030101_X1" "SJOS030101_X1" 3000 10 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"112" "xenograft" "femur" "SJOS030279_X1" "SJOS030279_X1" 3500 10 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"113" "xenograft" "femur" "SJOS063824_X1" "SJOS063824_X1" 2000 20 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"114" "xenograft" "femur" "SJOS016015_X1" "SJOS016015_X1" 1500 10 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"115" "xenograft" "femur" "SJOS012409_X1" "SJOS012409_X1" 1500 10 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"116" "xenograft" "femur" "SJOS013768_X1" "SJOS013768_X1" 1000 10 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"117" "xenograft" "tibia" "SJOS016016_X1" "SJOS016016_X1" 1000 15 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"118" "xenograft" "femur" "SJOS063819_X1" "SJOS063819_X1" 1000 10 "primary" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"119" "xenograft" "femur" "SJOS030272_X1" "SJOS030272_X1" 600 10 "primary" "pending" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"120" "xenograft" "femur" "SJOS063833_X2" "SJOS063833_X2" 1000 10 "primary" "pending" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_prim_mouse" "xenograft_PDX"
"121" "xenograft" "lung" "S0041" "NCHOS2" 20000 20 "metastatic" "yes" "^mm10---" "mouse" "three_prime" "single_cell" "NCH" "xeno_mets_mouse" "xenograft_PDX"
"122" "xenograft" "lung" "S0055" "NCHOS7" 10000 20 "metastatic" "yes" "^mm10---" "mouse" "three_prime" "single_cell" "NCH" "xeno_mets_mouse" "xenograft_PDX"
"123" "xenograft" "lung" "S0254" "NCHOS4" 15000 15 "metastatic" "yes" "^mm10---" "mouse" "three_prime" "single_cell" "NCH" "xeno_mets_mouse" "xenograft_PDX"
"124" "xenograft" "lung" "SJOS003939_X2_sc" "SJOS003939_X2_sc" 600 15 "metastatic" "yes" "^mm10---" "mouse" "three_prime" "single_cell" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"125" "xenograft" "lung" "SJOS003939_X2_sn" "SJOS003939_X2_sn" 1000 15 "metastatic" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"126" "xenograft" "lung" "SJOS001112_X1" "SJOS001112_X1" 1500 20 "metastatic" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"127" "xenograft" "lung" "SJOS013768_X3" "SJOS013768_X3" 600 20 "metastatic" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"128" "xenograft" "lung" "SJOS001108_X1" "SJOS001108_X1" 600 20 "metastatic" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"129" "xenograft" "lung" "SJOS030441_X1" "SJOS030441_X1" 1000 15 "metastatic" "yes" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"130" "xenograft" "lung" "SJOS063833_X1" "SJOS063833_X1" 1000 15 "metastatic" "pending" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"131" "xenograft" "lung" "SJOS001107_X3" "SJOS001107_X3" 1000 10 "metastatic" "pending" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"132" "xenograft" "lung" "SJOS001116_X2" "SJOS001116_X2" 1000 10 "metastatic" "pending" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"133" "xenograft" "lung" "SJOS030605_X2" "SJOS030605_X2" 1000 10 "metastatic" "pending" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"134" "xenograft" "lung" "SJOS001132_X1" "SJOS001132_X1" 2000 15 "metastatic" "pending" "^mm10---" "mouse" "three_prime" "single_nucleus" "SJ" "xeno_mets_mouse" "xenograft_PDX"
"135" "mousemodel" "cc_tumor" "S0200" "F420" 70000 15 "primary" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_prim" "mousemodel_CL"
"136" "mousemodel" "cc_tumor" "S0201" "K7M2" 70000 15 "primary" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_prim" "mousemodel_CL"
"137" "mousemodel" "tibia" "S0104" "F420" 40000 20 "primary" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_prim" "mousemodel"
"138" "mousemodel" "tibia" "S0105" "K7M2" 40000 15 "primary" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_prim" "mousemodel"
"139" "mousemodel" "tibia" "F331" "F331" 5000 20 "primary" "yes" "nothing" "mouse" "three_prime" "single_cell" "SJ" "mm_prim" "mousemodel"
"140" "mousemodel" "lung" "S0246" "F420" 30000 20 "metastatic" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_mets" "mousemodel"
"141" "mousemodel" "lung" "S0123" "K7M2" 30000 20 "metastatic" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_mets" "mousemodel"
"142" "mousemodel" "lung" "S0122" "K7M2" 55000 20 "metastatic" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_mets" "mousemodel"
"143" "mousemodel" "lung" "S0067" "F420" 60000 20 "metastatic" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_mets" "mousemodel"
"144" "mousemodel" "lung" "S0068" "F420" 50000 20 "metastatic" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_mets" "mousemodel"
"145" "mousemodel" "lung" "S0075" "K7M2" 90000 20 "metastatic" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_mets" "mousemodel"
"146" "mousemodel" "lung" "S0291" "F420" 25000 10 "metastatic" "yes" "nothing" "mouse" "three_prime" "single_nucleus" "NCH" "mm_mets" "mousemodel"
"147" "mousemodel" "lung" "S0282" "F420" 15000 10 "metastatic" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_mets" "mousemodel"
"148" "mousemodel" "cc_tumor" "S0200" "F420" 70000 15 "primary" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_mets" "mousemodel_CL"
"149" "mousemodel" "cc_tumor" "S0201" "K7M2" 70000 15 "primary" "yes" "nothing" "mouse" "three_prime" "single_cell" "NCH" "mm_mets" "mousemodel_CL"
